Restaurant Names,Rating,Rating Count,Coordinates,Addresses
HighRest Restaurant,5.0,22 reviews,"40.183319,44.516144",
Square One,4.0,169 reviews,"40.179962,44.514347",
CoffeeTalk,No rating,0 reviews,"40.188137,44.513374",
Shaurma Club Bistro,4.5,74 reviews,"40.179134,44.510307",
Karas National Food Chain,3.5,4 reviews,"40.201099,44.501534",
Fry Day,4.5,21 reviews,"40.206211,44.518883",
Ojax,4.0,5 reviews,"40.188194,44.519882",
Panda Hookah,4.0,25 reviews,"40.187260,44.509296",
Big Book,5.0,1 review,"40.182228,44.524811",
POS,No rating,0 reviews,"40.188946,44.513073",
Tumanyan Shaurma,No rating,0 reviews,"40.206570,44.513107",
Vino del Nord,4.0,5 reviews,"40.183643,44.515240",
Big And Tasty,5.0,36 reviews,"40.175339,44.519855",
Maza by Mandaloun,4.0,10 reviews,"40.182903,44.512600",
El Taco,5.0,2 reviews,"40.182949,44.516663",
Voski Restaurant,5.0,4 reviews,"40.184006,44.519596",
Artashi Mot,5.0,3 reviews,Not available,"Moskovskaya, 31, Yerevan 0028 Armenia"
Baffles,5.0,2 reviews,"40.171524,44.512978",
Leo Cafe Restaurant,5.0,4 reviews,"40.188858,44.518810",
Wasabi,4.5,13 reviews,"40.180000,44.514168",
Zatar Pizza,4.5,88 reviews,"40.175491,44.513332",
Retro Bar,4.0,7 reviews,"40.189819,44.515671",
Lebanon Shawarma,3.0,10 reviews,"40.182846,44.516685",
Terrazza,4.5,62 reviews,"40.188595,44.520222",
Vienna Cafe and Kitchen,4.5,60 reviews,"40.181484,44.515255",
Artbridge Bookstore Cafe,4.5,142 reviews,"40.182686,44.518314",
Loft Room,4.0,14 reviews,"40.180901,44.514732",
Old Town,4.5,42 reviews,"40.181393,44.510880",
Qaghaq Pandok,4.0,17 reviews,"40.175735,44.514244",
Burger Bar,5.0,2 reviews,"40.181274,44.518681",
PaddonOK,5.0,1 review,"40.185101,44.517521",
akanat,4.5,7 reviews,Not available,"Koghbaci 28, Yerevan 0001 Armenia"
View Cafe & Restaurant,5.0,4 reviews,"40.186520,44.513744",
Patio Restaurant,4.5,37 reviews,"40.181435,44.515224",
Gata Tavern,4.5,383 reviews,"40.181419,44.518890",
Lennon Gastro Pub,5.0,1 review,"40.181110,44.507298",
Kololak Restaurant,5.0,5 reviews,"40.175186,44.521172",
Bogossians’ Sweets Boutique,No rating,0 reviews,"40.190464,44.479694",
Sakurada,4.5,128 reviews,"40.181381,44.519310",
26 Irish Pub,4.0,23 reviews,"40.185741,44.511589",
Accent by Gayane Breiova,4.5,10 reviews,"40.175404,44.508812",
Cup O' Joy,No rating,0 reviews,"40.206753,44.518520",
Zolotaya Vilka,4.0,1 review,Not available,"Isayelyan R. str. 73 Crossing Paronyan St., Yerevan 0015 Armenia"
Flagman,4.0,13 reviews,"40.178719,44.524509",
Elie's Lahmajun,5.0,46 reviews,"40.174145,44.510857",
Saint Tropez,3.5,12 reviews,"40.185829,44.516048",
Hookah Snake,No rating,0 reviews,"40.182449,44.506699",
Diamond Pizza,3.0,83 reviews,"40.178715,44.513191",
The Coast Yerevan,4.5,88 reviews,"40.188911,44.515724",
ARIES Modern Lunch Hall,No rating,0 reviews,"40.155704,44.524937",
Dialogue Cafe Restaurant,5.0,2 reviews,"40.200424,44.521397",
Milos Greek Tavern,4.5,38 reviews,"40.181503,44.519817",
Panorama Lounge Bar,4.5,11 reviews,"40.174107,44.505638",
Mozaic Sky Restaurant,4.5,170 reviews,"40.175156,44.510075",
Avenue 37,5.0,3 reviews,Not available,"Mashtots M. ave 37, Yerevan 0002 Armenia"
Face Pub,No rating,0 reviews,"40.182949,44.516663",
Fidji,No rating,0 reviews,Not available,"Davit Bek 286/7, Yerevan 0062 Armenia"
Gini Restaurant,5.0,1 review,"40.178860,44.506653",
Saryan Notes,5.0,4 reviews,"40.187046,44.509693",
Hindenburg Pub,3.5,3 reviews,"40.188988,44.513058",
Abu Hagop Sandwich,4.0,6 reviews,"40.183506,44.511814",
August Cafeteria,4.0,68 reviews,"40.189037,44.515751",
Zion Kosher Restaurante,4.5,12 reviews,"40.192024,44.503891",
Mane Cocktail Bar,4.5,2 reviews,"40.187107,44.509701",
Bravo,5.0,2 reviews,"40.200314,44.498657",
Old Faeton,No rating,0 reviews,"40.208366,44.529022",
Jose Cafe Club Restaurant,4.0,57 reviews,"40.175632,44.521606",
La Folie,4.0,2 reviews,"40.183308,44.519714",
Pioneer Brazilian Restaurant,3.5,15 reviews,Not available,"Baghramyan Ave 2, Yerevan Armenia"
