Hotel Names,Price,Rating,Rating Count,Nearby Resaurants,Nearby Attractions
Retrocity Apartments By Opera Theatre,"10,003",No rating,0 reviews,156 restaurants within walking distance.,44 attraction areas within walking distance.
Regard Hotel,Not available,No rating,0 reviews,10 restaurants within walking distance.,7 attraction areas within walking distance.
Lotus Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Welcome Apt. by AVS at 17 Buzand,"20,831",No rating,0 reviews,168 restaurants within walking distance.,33 attraction areas within walking distance.
A1 Hostel and Tours,"1,441",No rating,0 reviews,187 restaurants within walking distance.,39 attraction areas within walking distance.
Armenner Hostel And Tours,Not available,No rating,0 reviews,252 restaurants within walking distance.,45 attraction areas within walking distance.
Apartments,Not available,No rating,0 reviews,224 restaurants within walking distance.,48 attraction areas within walking distance.
Hotel Amico,Not available,No rating,0 reviews,119 restaurants within walking distance.,46 attraction areas within walking distance.
Duck Hostel,Not available,No rating,0 reviews,91 restaurants within walking distance.,9 attraction areas within walking distance.
Yerevan Apart Republic Square,Not available,No rating,0 reviews,141 restaurants within walking distance.,26 attraction areas within walking distance.
Dreamsfly Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
HosTales,"9,167",No rating,0 reviews,106 restaurants within walking distance.,35 attraction areas within walking distance.
Uber Stay Hostel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Republic Hotel,Not available,No rating,0 reviews,None within walking distance,None within walking distance
Sofia Hotel,Not available,No rating,0 reviews,46 restaurants within walking distance.,15 attraction areas within walking distance.
Highland Hotel,Not available,No rating,0 reviews,71 restaurants within walking distance.,26 attraction areas within walking distance.
